merchant;scraping_date;city_name;hotel_name;star;Starting_period;Ending_period;Camera;Price 1;Price 2;Price 3;Price 4;Price 5;currency
trivago;2020-05-25;SIRMIONE;Antico Rovere Sirmione Cir 017179-cni-00102;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;SIRMIONE;Residence Punta Gro;;13/07/2020;19/07/2020;camere familiari;63;63;56;;;eur
trivago;2020-05-25;SIRMIONE;Hotel Gardenia;3;13/07/2020;19/07/2020;camere familiari;82;82;115;99;93;eur
trivago;2020-05-25;SIRMIONE;Appartamenti Altea;;13/07/2020;19/07/2020;camere familiari;88;88;88;;;eur
trivago;2020-05-25;SIRMIONE;Il Grappolo Bilocale;;13/07/2020;19/07/2020;camere familiari;92;92;;;;eur
trivago;2020-05-25;SIRMIONE;Camping Villaggio Tiglio;;13/07/2020;19/07/2020;camere familiari;60;92;64;;;eur
trivago;2020-05-25;SIRMIONE;Al Faro-luxury Holiday Home;;13/07/2020;19/07/2020;camere familiari;96;96;96;;;eur
trivago;2020-05-25;SIRMIONE;Al Faro-luxury Holiday Home;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;SIRMIONE;Residence Magnolie;;13/07/2020;19/07/2020;camere familiari;103;103;103;;;eur
trivago;2020-05-25;SIRMIONE;Suite Mavino Appartamenti;;13/07/2020;19/07/2020;camere familiari;104;104;;;;eur
trivago;2020-05-25;SIRMIONE;Adriana Sirmione;;13/07/2020;19/07/2020;camere familiari;104;104;;;;eur
trivago;2020-05-25;SIRMIONE;Camere America B&b;;13/07/2020;19/07/2020;camere familiari;109;109;109;109;109;eur
trivago;2020-05-25;SIRMIONE;America;;13/07/2020;19/07/2020;camere familiari;110;110;110;110;110;eur
trivago;2020-05-25;SIRMIONE;Poggio Al Lago;;13/07/2020;19/07/2020;camere familiari;111;111;;;;eur
trivago;2020-05-25;SIRMIONE;Appartamento Indipendente In Villa Con P.auto .;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;SIRMIONE;Case Da Anna - Cascinale - Lago Di Garda;;13/07/2020;19/07/2020;camere familiari;114;114;114;;;eur
trivago;2020-05-25;SIRMIONE;Le Palme Appartamento 3;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;SIRMIONE;Appartamento Cipria;;13/07/2020;19/07/2020;camere familiari;117;117;136;;;eur
trivago;2020-05-25;SIRMIONE;Fiordaliso;2;13/07/2020;19/07/2020;camere familiari;116;118;134;134;116;eur
trivago;2020-05-25;SIRMIONE;Olimpia;2;13/07/2020;19/07/2020;camere familiari;119;119;119;139;132;eur
trivago;2020-05-25;SIRMIONE;Il Canaletto;;13/07/2020;19/07/2020;camere familiari;120;120;;;;eur
trivago;2020-05-25;SIRMIONE;Sirmione Acque Del Garda Apartments;;13/07/2020;19/07/2020;camere familiari;120;120;120;;;eur
trivago;2020-05-25;SIRMIONE;Sarno Appartamento;;13/07/2020;19/07/2020;camere familiari;121;121;121;;;eur
trivago;2020-05-25;SIRMIONE;Anna Apartment;;13/07/2020;19/07/2020;camere familiari;122;122;122;;;eur
trivago;2020-05-25;SIRMIONE;Hotel Marolda;3;13/07/2020;19/07/2020;camere familiari;124;124;124;;;eur
trivago;2020-05-25;STRESA;Hotel Villa & Palazzo Aminta;5;13/07/2020;19/07/2020;camere familiari;749;802;749;749;749;eur
trivago;2020-05-25;STRESA;Villa Perondi In Stresa Whg. Nr. 5;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;STRESA;Casa Della Torre;;13/07/2020;19/07/2020;camere familiari;78;78;107;;;eur
trivago;2020-05-25;STRESA;Casa Indipendente Vista Lago;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;STRESA;Langelo;;13/07/2020;19/07/2020;camere familiari;95;95;95;;;eur
trivago;2020-05-25;STRESA;Bilocale Dante;;13/07/2020;19/07/2020;camere familiari;97;97;97;;;eur
trivago;2020-05-25;STRESA;Casa Elisa;;13/07/2020;19/07/2020;camere familiari;98;98;98;;;eur
trivago;2020-05-25;STRESA;Le Camere Della Vecchia Osteria;;13/07/2020;19/07/2020;camere familiari;99;99;99;;;eur
trivago;2020-05-25;STRESA;Al 13 Rosso;;13/07/2020;19/07/2020;camere familiari;100;100;;;;eur
trivago;2020-05-25;STRESA;Dama Del Lago;;13/07/2020;19/07/2020;camere familiari;102;102;;;;eur
trivago;2020-05-25;STRESA;Casa Gènia;;13/07/2020;19/07/2020;camere familiari;102;102;;;;eur
trivago;2020-05-25;STRESA;Da Cesare;2;13/07/2020;19/07/2020;camere familiari;93;106;108;108;93;eur
trivago;2020-05-25;STRESA;Appartamento Cigno;;13/07/2020;19/07/2020;camere familiari;106;106;;;;eur
trivago;2020-05-25;STRESA;Casa Clara;;13/07/2020;19/07/2020;camere familiari;107;107;;;;eur
trivago;2020-05-25;STRESA;Casa Yin E Yan In Stresa;;13/07/2020;19/07/2020;camere familiari;111;111;111;;;eur
trivago;2020-05-25;STRESA;La Pergola;;13/07/2020;19/07/2020;camere familiari;111;111;;;;eur
trivago;2020-05-25;STRESA;Fruitn Joy;;13/07/2020;19/07/2020;camere familiari;112;112;124;;;eur
trivago;2020-05-25;STRESA;Sirena;;13/07/2020;19/07/2020;camere familiari;114;114;114;;;eur
trivago;2020-05-25;STRESA;Don Ezio;;13/07/2020;19/07/2020;camere familiari;114;114;114;;;eur
trivago;2020-05-25;STRESA;Villa Lucciola;;13/07/2020;19/07/2020;camere familiari;116;116;119;119;116;eur
trivago;2020-05-25;STRESA;Rio Molino;;13/07/2020;19/07/2020;camere familiari;118;118;129;;;eur
trivago;2020-05-25;STRESA;Lago Blu;;13/07/2020;19/07/2020;camere familiari;118;118;;;;eur
trivago;2020-05-25;STRESA;Stresa Apartment;;13/07/2020;19/07/2020;camere familiari;120;120;120;;;eur
trivago;2020-05-25;STRESA;Chiara Loft;;13/07/2020;19/07/2020;camere familiari;116;120;116;;;eur
trivago;2020-05-25;STRESA;Luxury And Fashionable Apartment;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;AMALFI;Castriota-scanderberg Apartment;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-25;AMALFI;La Casina Del Piennolo;;13/07/2020;19/07/2020;camere familiari;107;107;;;;eur
trivago;2020-05-25;AMALFI;Sul Poggio Antico;;13/07/2020;19/07/2020;camere familiari;121;121;121;;;eur
trivago;2020-05-25;AMALFI;Hotel Amalfi;3;13/07/2020;19/07/2020;camere familiari;130;130;130;236;218;eur
trivago;2020-05-25;AMALFI;Caleidoscopio Amalfi;;13/07/2020;19/07/2020;camere familiari;142;142;;;;eur
