merchant;scraping_date;city_name;hotel_name;star;Starting_period;Ending_period;Camera;Price 1;Price 2;Price 3;Price 4;Price 5;currency
trivago;2020-05-24;SIRMIONE;Antico Rovere Sirmione Cir 017179-cni-00102;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-24;SIRMIONE;2-room Apartment Centro Pederobba;;13/07/2020;19/07/2020;camere familiari;59;59;59;;;eur
trivago;2020-05-24;SIRMIONE;Residence Punta Gro;;13/07/2020;19/07/2020;camere familiari;62;62;55;;;eur
trivago;2020-05-24;SIRMIONE;Apartment For Rent Sirmione;;13/07/2020;19/07/2020;camere familiari;62;62;62;;;eur
trivago;2020-05-24;SIRMIONE;Hotel Gardenia;3;13/07/2020;19/07/2020;camere familiari;83;83;101;106;116;eur
trivago;2020-05-24;SIRMIONE;Apartment Pasquino;;13/07/2020;19/07/2020;camere familiari;83;83;;;;eur
trivago;2020-05-24;SIRMIONE;Apartment Sirmione Lake;;13/07/2020;19/07/2020;camere familiari;84;84;;;;eur
trivago;2020-05-24;SIRMIONE;Appartamenti Altea;;13/07/2020;19/07/2020;camere familiari;88;88;88;;;eur
trivago;2020-05-24;SIRMIONE;Appartamento Da Matthias, Colombare Di Sirmione;;13/07/2020;19/07/2020;camere familiari;89;89;89;;;eur
trivago;2020-05-24;SIRMIONE;Camping Villaggio Tiglio;;13/07/2020;19/07/2020;camere familiari;60;92;64;;;eur
trivago;2020-05-24;SIRMIONE;Il Grappolo Bilocale;;13/07/2020;19/07/2020;camere familiari;92;92;;;;eur
trivago;2020-05-24;SIRMIONE;Al Faro-luxury Holiday Home;;13/07/2020;19/07/2020;camere familiari;96;96;96;;;eur
trivago;2020-05-24;SIRMIONE;Near The Centre Of The Old Town And The Lake 2-room Apartment Il Grappolo;;13/07/2020;19/07/2020;camere familiari;99;99;;;;eur
trivago;2020-05-24;SIRMIONE;Al Faro-luxury Holiday Home;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-24;SIRMIONE;Apartment The Palace;;13/07/2020;19/07/2020;camere familiari;102;102;102;;;eur
trivago;2020-05-24;SIRMIONE;Residence Magnolie;;13/07/2020;19/07/2020;camere familiari;103;103;103;;;eur
trivago;2020-05-24;SIRMIONE;Adriana Sirmione;;13/07/2020;19/07/2020;camere familiari;104;104;;;;eur
trivago;2020-05-24;SIRMIONE;Suite Mavino Appartamenti;;13/07/2020;19/07/2020;camere familiari;104;104;;;;eur
trivago;2020-05-24;SIRMIONE;Grosse Sonnige Dachterrasse In SeenÄhe Mit Blick In Die Gardaseeberge!;;13/07/2020;19/07/2020;camere familiari;105;105;105;;;eur
trivago;2020-05-24;SIRMIONE;Villa Aurora;;13/07/2020;19/07/2020;camere familiari;106;106;106;;;eur
trivago;2020-05-24;SIRMIONE;Sirmione 'villa Lucrezia' appartamento vacanze con piscina vicino Terme Virgilio;;13/07/2020;19/07/2020;camere familiari;108;108;108;;;eur
trivago;2020-05-24;SIRMIONE;Camere America B&b;;13/07/2020;19/07/2020;camere familiari;109;109;109;109;109;eur
trivago;2020-05-24;SIRMIONE;America;;13/07/2020;19/07/2020;camere familiari;110;110;110;110;110;eur
trivago;2020-05-24;SIRMIONE;Poggio Al Lago;;13/07/2020;19/07/2020;camere familiari;111;111;;;;eur
trivago;2020-05-24;SIRMIONE;Apartment Garden Ville, Two-room Apartment In Residence With Swimming Pool And Garden;;13/07/2020;19/07/2020;camere familiari;112;112;;;;eur
trivago;2020-05-24;STRESA;Hotel Villa & Palazzo Aminta;5;13/07/2020;19/07/2020;camere familiari;802;802;935;935;802;eur
trivago;2020-05-24;STRESA;Villa Perondi In Stresa Whg. Nr. 5;;13/07/2020;19/07/2020;camere familiari;;;;;;eur
trivago;2020-05-24;STRESA;Casa Della Torre;;13/07/2020;19/07/2020;camere familiari;78;78;107;;;eur
trivago;2020-05-24;STRESA;Appartamento Villagio - Terrazzo;;13/07/2020;19/07/2020;camere familiari;81;81;81;;;eur
trivago;2020-05-24;STRESA;Casa Sole;;13/07/2020;19/07/2020;camere familiari;83;83;83;;;eur
