merchant;scraping_date;city_name;hotel_name;star;Starting_period;Ending_period;Camera;Price 1;Price 2;Price 3;Price 4;Price 5;currency
trivago;2020-04-09;NAPOLI;Hotel Zara;2;13/07/2020;19/07/2020;camera doppia;39;39;39;39;39;eur
trivago;2020-04-09;NAPOLI;Vittorio Veneto;2;13/07/2020;19/07/2020;camera doppia;40;40;44;44;;eur
trivago;2020-04-09;NAPOLI;Casanova;2;13/07/2020;19/07/2020;camera doppia;46;46;50;50;46;eur
trivago;2020-04-09;NAPOLI;Hotel Fiorentina;2;13/07/2020;19/07/2020;camera doppia;49;49;59;59;49;eur
trivago;2020-04-09;NAPOLI;Hotel Primavera;2;13/07/2020;19/07/2020;camera doppia;49;49;54;;;eur
trivago;2020-04-09;NAPOLI;Hotel Alloggio Del Conte;2;13/07/2020;19/07/2020;camera doppia;54;54;68;68;54;eur
trivago;2020-04-09;NAPOLI;Hotel Pignatelli;2;13/07/2020;19/07/2020;camera doppia;58;58;;;;eur
trivago;2020-04-09;NAPOLI;Kennedy;2;13/07/2020;19/07/2020;camera doppia;62;62;62;62;62;eur
trivago;2020-04-09;NAPOLI;Le Orchidee;2;13/07/2020;19/07/2020;camera doppia;51;72;72;80;59;eur
trivago;2020-04-09;NAPOLI;Duomo;2;13/07/2020;19/07/2020;camera doppia;78;78;78;90;90;eur
trivago;2020-04-09;NAPOLI;Hôtel Bella Capri;2;13/07/2020;19/07/2020;camera doppia;68;79;68;79;79;eur
trivago;2020-04-09;ROMA;Hotel Acropoli;2;13/07/2020;19/07/2020;camera doppia;29;31;33;33;29;eur
trivago;2020-04-09;ROMA;Anacapri;2;13/07/2020;19/07/2020;camera doppia;39;39;39;54;52;eur
trivago;2020-04-09;ROMA;Baltico;2;13/07/2020;19/07/2020;camera doppia;42;42;53;74;47;eur
trivago;2020-04-09;ROMA;Radio Hotel;2;13/07/2020;19/07/2020;camera doppia;42;42;45;45;;eur
trivago;2020-04-09;ROMA;La Luna Romana;2;13/07/2020;19/07/2020;camera doppia;43;44;43;48;48;eur
trivago;2020-04-09;ROMA;Hotel Lazzari;2;13/07/2020;19/07/2020;camera doppia;44;44;44;48;48;eur
trivago;2020-04-09;ROMA;Hotel Urbis;2;13/07/2020;19/07/2020;camera doppia;44;44;49;;;eur
trivago;2020-04-09;ROMA;Hotel Santa Prassede;2;13/07/2020;19/07/2020;camera doppia;42;48;42;;;eur
trivago;2020-04-09;ROMA;Hotel Alexis;2;13/07/2020;19/07/2020;camera doppia;48;48;55;55;48;eur
trivago;2020-04-09;ROMA;Sallustio;2;13/07/2020;19/07/2020;camera doppia;48;48;;;;eur
trivago;2020-04-09;ROMA;Hotel Vitti;2;13/07/2020;19/07/2020;camera doppia;48;48;57;57;48;eur
trivago;2020-04-09;ROMA;Hotel Sallustio;2;13/07/2020;19/07/2020;camera doppia;48;48;53;60;55;eur
trivago;2020-04-09;ROMA;Hotel City Guest House;2;13/07/2020;19/07/2020;camera doppia;40;49;66;85;49;eur
